ProblemType,Algorithm,Method,Accuracy
non-linear,bnlearn-tabu,LRl1,0.97
non-linear,bnlearn-tabu,LRl2,0.97
non-linear,bnlearn-tabu,LRmix,0.97
non-linear,bnlearn-tabu,BNB,0.658
non-linear,bnlearn-tabu,GNB,0.97
non-linear,bnlearn-tabu,MnNB,0.0
non-linear,bnlearn-tabu,CNB,0.505
non-linear,bnlearn-tabu,SVMsig,0.97
non-linear,bnlearn-tabu,SVMpoly,0.0
non-linear,bnlearn-tabu,SVMrbf,0.0
non-linear,bnlearn-tabu,KNCunif,0.97
non-linear,bnlearn-tabu,KNCdist,0.97
non-linear,bnlearn-mmhc,DTCgini,0.0
non-linear,bnlearn-mmhc,DTCent,0.0
non-linear,bnlearn-mmhc,RFCgini,0.0
non-linear,bnlearn-mmhc,RFCent,0.0
non-linear,bnlearn-mmhc,LRnone,0.97
non-linear,bnlearn-mmhc,LRl1,0.97
non-linear,bnlearn-mmhc,LRl2,0.97
non-linear,bnlearn-mmhc,LRmix,0.97
non-linear,bnlearn-mmhc,BNB,0.658
non-linear,bnlearn-mmhc,GNB,0.97
non-linear,bnlearn-mmhc,MnNB,0.0
non-linear,bnlearn-mmhc,CNB,0.508
non-linear,bnlearn-mmhc,SVMsig,0.97
non-linear,bnlearn-mmhc,SVMpoly,0.97
non-linear,bnlearn-mmhc,SVMrbf,0.253
non-linear,bnlearn-mmhc,KNCunif,0.0
non-linear,bnlearn-mmhc,KNCdist,0.0
non-linear,bnlearn-rsmax2,DTCgini,0.97
non-linear,bnlearn-rsmax2,DTCent,0.97
non-linear,bnlearn-rsmax2,RFCgini,0.97
non-linear,bnlearn-rsmax2,RFCent,0.97
non-linear,bnlearn-rsmax2,LRnone,0.552
non-linear,bnlearn-rsmax2,LRl1,0.97
non-linear,bnlearn-rsmax2,LRl2,0.97
non-linear,bnlearn-rsmax2,LRmix,0.97
non-linear,bnlearn-rsmax2,BNB,0.0
non-linear,bnlearn-rsmax2,GNB,0.97
non-linear,bnlearn-rsmax2,MnNB,0.0
non-linear,bnlearn-rsmax2,CNB,0.5
non-linear,bnlearn-rsmax2,SVMsig,0.97
non-linear,bnlearn-rsmax2,SVMpoly,0.97
non-linear,bnlearn-rsmax2,SVMrbf,0.97
non-linear,bnlearn-rsmax2,KNCunif,0.97
non-linear,bnlearn-rsmax2,KNCdist,0.97
